date,sp500,strategy,sp500Return,strategyReturn,holding,rebalanced
2015-08-17,100.000000,100.000000,0.0000000000,0.0000000000,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,0
2015-08-18,99.744590,99.580263,-0.0025541016,-0.0041973688,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-08-19,98.928335,99.453080,-0.0081834477,-0.0012771962,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-08-20,96.847997,97.329074,-0.0210287415,-0.0213568590,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-08-21,93.770212,93.957222,-0.0317795371,-0.0346438368,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-08-24,90.081080,90.466926,-0.0393422643,-0.0371477133,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-08-25,88.869438,90.009894,-0.0134505664,-0.0050519196,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-08-26,92.344703,93.604286,0.0391052873,0.0399332929,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-08-27,94.595068,95.628029,0.0243691772,0.0216202048,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-08-28,94.659408,95.769688,0.0006801649,0.0014813522,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-08-31,93.871819,94.134952,-0.0083202418,-0.0170694493,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-01,91.102129,92.217841,-0.0295050181,-0.0203655674,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-02,92.775165,94.464268,0.0183644036,0.0243600084,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-03,92.889856,94.171982,0.0012362221,-0.0030941447,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-04,91.472527,93.298548,-0.0152581672,-0.0092748822,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-08,93.773471,96.298887,0.0251544822,0.0321584720,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-09,92.476947,95.168619,-0.0138261319,-0.0117370805,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-10,92.971641,95.966823,0.0053493836,0.0083872605,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-11,93.395450,96.647026,0.0045584718,0.0070879001,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-14,93.020166,96.159523,-0.0040182271,-0.0050441584,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-15,94.220381,97.849587,0.0129027400,0.0175756277,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-16,95.047338,98.264981,0.0087768429,0.0042452340,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-17,94.810706,98.563329,-0.0024896307,0.0030361500,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-18,93.284942,97.264422,-0.0160927372,-0.0131784019,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-21,93.717524,97.041906,0.0046372122,-0.0022877367,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-22,92.569765,96.240635,-0.0122470007,-0.0082569600,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-23,92.386735,96.465287,-0.0019772143,0.0023342720,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-24,92.082639,95.778841,-0.0032915558,-0.0071159876,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-25,92.046325,94.433782,-0.0003943647,-0.0140433803,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-28,89.690430,90.823564,-0.0255946619,-0.0382301585,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-29,89.807412,90.913390,0.0013042818,0.0009890164,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-09-30,91.526953,92.719923,0.0191469845,0.0198709294,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-10-01,91.714154,93.345626,0.0020453128,0.0067483034,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|MCK|PSA|REGN,1
2015-10-02,93.033620,94.538039,0.0143867179,0.0127741779,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|LMT|PSA|REGN,1
2015-10-05,94.741835,95.308356,0.0183612694,0.0081482233,AZO|BIIB|BKNG|BLK|EQIX|ESS|GWW|LMT|PSA|REGN,1
