date,sp500,strategy,sp500Return,strategyReturn,holding,rebalanced
2015-08-17,100.000000,100.000000,0.0000000000,0.0000000000,BKNG,0
2015-08-18,99.744590,98.872604,-0.0025541016,-0.0112739575,BKNG,0
2015-08-19,98.928335,98.835868,-0.0081834477,-0.0003715508,BKNG,0
2015-08-20,96.847997,96.248162,-0.0210287415,-0.0261818540,BKNG,0
2015-08-21,93.770212,93.139235,-0.0317795371,-0.0323011545,BKNG,0
2015-08-24,90.081080,89.863454,-0.0393422643,-0.0351707978,BKNG,0
2015-08-25,88.869438,90.222417,-0.0134505664,0.0039945351,BKNG,0
2015-08-26,92.344703,93.639780,0.0391052873,0.0378770965,BKNG,0
2015-08-27,94.595068,95.824911,0.0243691772,0.0233354991,BKNG,0
2015-08-28,94.659408,96.389753,0.0006801649,0.0058945255,BKNG,0
2015-08-31,93.871819,95.566982,-0.0083202418,-0.0085358784,BKNG,0
2015-09-01,91.102129,93.019833,-0.0295050181,-0.0266530216,BKNG,0
2015-09-02,92.775165,95.125363,0.0183644036,0.0226352769,BKNG,0
2015-09-03,92.889856,94.934021,0.0012362221,-0.0020114735,BKNG,0
2015-09-04,91.472527,95.307521,-0.0152581672,0.0039343139,BKNG,0
2015-09-08,93.773471,97.997793,0.0251544822,0.0282272832,BKNG,0
2015-09-09,92.476947,97.716133,-0.0138261319,-0.0028741437,BKNG,0
2015-09-10,92.971641,98.559571,0.0053493836,0.0086315087,BKNG,0
2015-09-11,93.395450,98.763928,0.0045584718,0.0020734341,BKNG,0
2015-09-14,93.020166,98.489920,-0.0040182271,-0.0027743725,BKNG,0
2015-09-15,94.220381,100.936810,0.0129027400,0.0248440694,BKNG,0
2015-09-16,95.047338,101.065387,0.0087768429,0.0012738335,BKNG,0
2015-09-17,94.810706,100.875577,-0.0024896307,-0.0018780902,BKNG,0
2015-09-18,93.284942,99.074663,-0.0160927372,-0.0178528295,BKNG,0
2015-09-21,93.717524,100.070408,0.0046372122,0.0100504531,BKNG,0
2015-09-22,92.569765,98.652178,-0.0122470007,-0.0141723235,BKNG,0
2015-09-23,92.386735,97.660263,-0.0019772143,-0.0100546658,BKNG,0
2015-09-24,92.082639,98.053664,-0.0032915558,0.0040282562,BKNG,0
2015-09-25,92.046325,95.882313,-0.0003943647,-0.0221445092,BKNG,0
2015-09-28,89.690430,91.778407,-0.0255946619,-0.0428014901,BKNG,0
2015-09-29,89.807412,91.868716,0.0013042818,0.0009839815,BKNG,0
2015-09-30,91.526953,94.665375,0.0191469845,0.0304419161,BKNG,0
2015-10-01,91.714154,95.447580,0.0020453128,0.0082628356,BKNG,0
2015-10-02,93.033620,96.871173,0.0143867179,0.0149149199,BKNG,0
2015-10-05,94.741835,97.573776,0.0183612694,0.0072529638,BKNG,0
2015-10-06,94.408646,97.618930,-0.0035168076,0.0004627691,BKNG,0
2015-10-07,95.174023,98.853470,0.0081070622,0.0126465212,BKNG,0
2015-10-08,96.020107,99.828549,0.0088898640,0.0098638804,BKNG,0
2015-10-09,96.096591,100.515092,0.0007965399,0.0068772181,BKNG,0
2015-10-12,96.226024,103.109684,0.0013469058,0.0258129593,BKNG,0
2015-10-13,95.576114,102.942072,-0.0067539954,-0.0016255625,BKNG,0
2015-10-14,95.132178,100.345939,-0.0046448456,-0.0252193635,BKNG,0
2015-10-15,96.551950,101.586608,0.0149242022,0.0123639164,BKNG,0
2015-10-16,97.000134,102.296862,0.0046419028,0.0069916197,BKNG,0
2015-10-19,97.033306,105.324665,0.0003419741,0.0295981955,BKNG,0
2015-10-20,96.902344,105.047602,-0.0013496618,-0.0026305619,BKNG,0
2015-10-21,96.344769,104.418471,-0.0057539864,-0.0059890060,BKNG,0
2015-10-22,97.953630,103.666874,0.0166990001,-0.0071979330,BKNG,0
2015-10-23,99.041089,104.586849,0.0111017731,0.0088743345,BKNG,0
2015-10-26,98.858688,108.400677,-0.0018416721,0.0364656576,BKNG,0
2015-10-27,98.613253,107.402643,-0.0024826900,-0.0092069006,BKNG,0
2015-10-28,99.787881,107.497547,0.0119114619,0.0008836371,BKNG,0
2015-10-29,99.750126,109.114772,-0.0003783456,0.0150442889,BKNG,0
2015-10-30,99.277465,111.302958,-0.0047384484,0.0200539861,BKNG,0
2015-11-02,100.463359,112.294106,0.0119452456,0.0089049615,BKNG,0
2015-11-03,100.744606,112.118843,0.0027994959,-0.0015607502,BKNG,0
2015-11-04,100.394625,112.475508,-0.0034739387,0.0031811278,BKNG,0
2015-11-05,100.288135,111.945869,-0.0010607198,-0.0047089222,BKNG,0
2015-11-06,100.260436,110.970790,-0.0002761928,-0.0087102705,BKNG,0
2015-11-09,99.282766,100.351302,-0.0097513008,-0.0956962533,BKNG,0
2015-11-10,99.439834,101.299594,0.0015820235,0.0094497307,BKNG,0
2015-11-11,99.125936,101.761871,-0.0031566572,0.0045634562,BKNG,0
2015-11-12,97.746208,100.570196,-0.0139189470,-0.0117104249,BKNG,0
2015-11-13,96.657712,99.325706,-0.0111359361,-0.0123743424,BKNG,0
2015-11-16,98.105132,96.962247,0.0149746938,-0.0237950336,BKNG,0
2015-11-17,97.980739,96.343833,-0.0012679507,-0.0063778889,BKNG,0
2015-11-18,99.571347,97.852371,0.0162338804,0.0156578622,BKNG,0
2015-11-19,99.466630,98.323075,-0.0010516806,0.0048103437,BKNG,0
2015-11-20,99.852722,98.084280,0.0038816243,-0.0024286732,BKNG,0
2015-11-23,99.736550,96.767075,-0.0011634322,-0.0134293248,BKNG,0
2015-11-24,99.865552,94.919483,0.0012934245,-0.0190931834,BKNG,0
2015-11-25,99.859789,95.345789,-0.0000577037,0.0044912400,BKNG,0
2015-11-27,99.926201,95.287620,0.0006650463,-0.0006100821,BKNG,0
2015-11-30,99.469581,95.583052,-0.0045695687,0.0031004148,BKNG,0
2015-12-01,100.539078,98.158519,0.0107520019,0.0269448093,BKNG,0
2015-12-02,99.440762,97.618164,-0.0109242646,-0.0055049190,BKNG,0
