date,sp500,strategy,sp500Return,strategyReturn,holding,rebalanced
2001-02-09,100.000000,100.000000,0.0000000000,0.0000000000,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,0
2001-02-12,101.189868,101.866158,0.0118986822,0.0186615849,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,0
2001-02-13,100.321589,100.720594,-0.0085806901,-0.0112457822,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-02-14,100.109673,99.578615,-0.0021123749,-0.0113380830,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-02-15,100.930074,100.063527,0.0081950227,0.0048696407,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-02-16,99.029166,99.772686,-0.0188339016,-0.0029065671,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-02-20,97.317441,100.085641,-0.0172850672,0.0031366836,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-02-21,95.523288,99.137517,-0.0184360855,-0.0094731275,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-02-22,95.343672,98.579655,-0.0018803428,-0.0056271549,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-02-23,94.820803,96.968122,-0.0054840383,-0.0163475262,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-02-26,96.485985,98.436159,0.0175613552,0.0151393801,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-02-27,95.753809,98.180321,-0.0075884144,-0.0025990294,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-02-28,94.390497,97.200356,-0.0142376800,-0.0099812728,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-01,94.495441,97.202175,0.0011118015,0.0000187117,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-02,93.965470,96.675434,-0.0056084213,-0.0054190189,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-05,94.522645,96.926806,0.0059295692,0.0026001628,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-06,95.472788,96.479697,0.0100520152,-0.0046128519,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-07,96.095635,96.435321,0.0065238133,-0.0004599525,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-08,96.319533,97.572003,0.0023299456,0.0117869913,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-09,93.941157,95.646420,-0.0246925545,-0.0197350035,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-12,89.891418,91.482994,-0.0431093209,-0.0435293395,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-13,91.230793,92.609802,0.0148999264,0.0123171323,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-14,88.879718,90.804518,-0.0257706301,-0.0194934460,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-15,89.407898,91.160039,0.0059426391,0.0039152377,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-16,87.659740,89.663569,-0.0195526213,-0.0164158598,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-19,89.211149,90.458465,0.0176980876,0.0088653174,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-20,87.069554,88.820418,-0.0240059196,-0.0181082821,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
2001-03-21,85.515163,86.560581,-0.0178522906,-0.0254427548,CAT|CVX|GE|IBM|JNJ|KO|MMM|MRK|PG|XOM,1
