date,sp500,strategy,sp500Return,strategyReturn,holding,rebalanced
2016-02-29,100.000000,100.000000,0.0000000000,0.0000000000,XOM,0
2016-03-01,102.386879,101.415283,0.0238687941,0.0141528347,XOM,0
2016-03-02,102.806084,103.183308,0.0040943210,0.0174335081,XOM,0
2016-03-03,103.165772,102.810346,0.0034987037,-0.0036145527,XOM,0
2016-03-04,103.506829,102.669146,0.0033059095,-0.0013734024,XOM,0
2016-03-07,103.598433,105.380117,0.0008850044,0.0264049181,XOM,0
2016-03-08,102.433975,103.097585,-0.0112401087,-0.0216599808,XOM,0
2016-03-09,102.951512,102.810346,0.0050523933,-0.0027860897,XOM,0
2016-03-10,102.967556,102.532958,0.0001558368,-0.0026980549,XOM,0
2016-03-11,104.655760,102.546266,0.0163955025,0.0001297896,XOM,0
2016-03-14,104.523789,102.822098,-0.0012610091,0.0026898348,XOM,0
2016-03-15,104.331782,103.332976,-0.0018369610,0.0049685599,XOM,0
2016-03-16,104.916081,103.395194,0.0056003929,0.0006021104,XOM,0
2016-03-17,105.608028,104.928000,0.0065952388,0.0148247325,XOM,0
2016-03-18,106.073294,105.055720,0.0044055886,0.0012172103,XOM,0
2016-03-21,106.177836,104.331227,0.0009855678,-0.0068962681,XOM,0
2016-03-22,106.084679,104.956517,-0.0008773640,0.0059933109,XOM,0
2016-03-23,105.407224,104.492648,-0.0063859889,-0.0044196275,XOM,0
2016-03-24,105.367373,104.778332,-0.0003780607,0.0027340074,XOM,0
2016-03-28,105.424820,105.077669,0.0005452027,0.0028568601,XOM,0
2016-03-29,106.354316,105.462555,0.0088166712,0.0036628771,XOM,0
2016-03-30,106.816994,105.454087,0.0043503438,-0.0000802990,XOM,0
2016-03-31,106.599111,104.294242,-0.0020397781,-0.0109985742,XOM,0
2016-04-01,107.273979,103.507877,0.0063308961,-0.0075398660,XOM,0
2016-04-04,106.929817,103.760033,-0.0032082517,0.0024360963,XOM,0
2016-04-05,105.845060,102.573227,-0.0101445698,-0.0114379847,XOM,0
2016-04-06,106.957246,103.944612,0.0105076840,0.0133698174,XOM,0
2016-04-07,105.676343,102.769905,-0.0119758451,-0.0113012856,XOM,0
2016-04-08,105.970821,103.822078,0.0027866067,0.0102381445,XOM,0
2016-04-11,105.680483,103.958266,-0.0027397929,0.0013117439,XOM,0
2016-04-12,106.701583,105.242373,0.0096621433,0.0123521442,XOM,0
2016-04-13,107.772884,105.840702,0.0100401606,0.0056852425,XOM,0
2016-04-14,107.791516,106.590254,0.0001728758,0.0070818916,XOM,0
2016-04-15,107.685420,106.017158,-0.0009842614,-0.0053766230,XOM,0
2016-04-18,108.389788,107.024051,0.0065409736,0.0094974471,XOM,0
2016-04-19,108.724117,107.563445,0.0030845039,0.0050399351,XOM,0
2016-04-20,108.806923,108.301245,0.0007616146,0.0068592087,XOM,0
2016-04-21,108.241772,108.289493,-0.0051940639,-0.0001085146,XOM,0
2016-04-22,108.246948,109.208934,0.0000478130,0.0084905901,XOM,0
2016-04-25,108.050801,108.961964,-0.0018120273,-0.0022614481,XOM,0
2016-04-26,108.253158,109.334926,0.0018727937,0.0034228596,XOM,0
2016-04-27,108.431708,110.370335,0.0016493761,0.0094700652,XOM,0
2016-04-28,107.430792,109.834051,-0.0092308427,-0.0048589450,XOM,0
2016-04-29,106.886861,110.297920,-0.0050630838,0.0042233597,XOM,0
2016-05-02,107.721648,111.207338,0.0078100034,0.0082451030,XOM,0
2016-05-03,106.786977,109.936711,-0.0086767271,-0.0114257474,XOM,0
2016-05-04,106.152994,109.718084,-0.0059368897,-0.0019886591,XOM,0
2016-05-05,106.127635,109.844075,-0.0002388939,0.0011483172,XOM,0
2016-05-06,106.464551,110.432552,0.0031746341,0.0053573873,XOM,0
2016-05-09,106.544770,110.508078,0.0007534733,0.0006839068,XOM,0
2016-05-10,107.874839,112.276275,0.0124836668,0.0160006131,XOM,0
2016-05-11,106.843388,111.739992,-0.0095615504,-0.0047764622,XOM,0
2016-05-12,106.825274,112.820854,-0.0001695359,0.0096730138,XOM,0
2016-05-13,105.919585,111.546771,-0.0084782303,-0.0112929787,XOM,0
2016-05-16,106.957246,112.694863,0.0097966882,0.0102924749,XOM,0
2016-05-17,105.950637,112.645953,-0.0094113207,-0.0004340051,XOM,0
2016-05-18,105.972374,112.419203,0.0002051573,-0.0020129399,XOM,0
2016-05-19,105.579564,113.370445,-0.0037067244,0.0084615609,XOM,0
2016-05-20,106.215099,112.906576,0.0060194898,-0.0040916193,XOM,0
2016-05-23,105.993593,112.731675,-0.0020854448,-0.0015490800,XOM,0
2016-05-24,107.443731,112.820854,0.0136813734,0.0007910725,XOM,0
2016-05-25,108.193124,113.561938,0.0069747502,0.0065686778,XOM,0
2016-05-26,108.170352,112.978645,-0.0002104719,-0.0051363374,XOM,0
2016-05-27,108.634065,113.244281,0.0042868762,0.0023512027,XOM,0
2016-05-31,108.524865,112.002344,-0.0010052119,-0.0109668902,XOM,0
2016-06-01,108.648039,112.276275,0.0011349818,0.0024457650,XOM,0
2016-06-02,108.954938,111.383967,0.0028247107,-0.0079474297,XOM,0
2016-06-03,108.637688,111.187117,-0.0029117544,-0.0017673135,XOM,0
2016-06-06,109.169716,112.407451,0.0048972670,0.0109754998,XOM,0
2016-06-07,109.310486,114.130194,0.0012894601,0.0153258826,XOM,0
2016-06-08,109.672244,114.227669,0.0033094554,0.0008540654,XOM,0
2016-06-09,109.483861,114.078000,-0.0017176941,-0.0013102650,XOM,0
2016-06-10,108.479322,113.212481,-0.0091752226,-0.0075870856,XOM,0
2016-06-13,107.598992,113.978970,-0.0081151870,0.0067703618,XOM,0
2016-06-14,107.405433,113.777108,-0.0017988899,-0.0017710494,XOM,0
2016-06-15,107.207734,113.435947,-0.0018406800,-0.0029985053,XOM,0
2016-06-16,107.543615,114.770520,0.0031329954,0.0117649927,XOM,0
2016-06-17,107.193243,114.141774,-0.0032579560,-0.0054782886,XOM,0
2016-06-20,107.815840,114.647985,0.0058081710,0.0044349356,XOM,0
2016-06-21,108.108248,115.155406,0.0027121085,0.0044259060,XOM,0
2016-06-22,107.929698,114.710030,-0.0016515870,-0.0038676098,XOM,0
2016-06-23,109.372073,115.501580,0.0133640222,0.0069004378,XOM,0
2016-06-24,105.443451,112.466039,-0.0359197850,-0.0262813741,XOM,0
2016-06-27,103.535293,111.800481,-0.0180965049,-0.0059178599,XOM,0
2016-06-28,105.375137,114.380621,0.0177702020,0.0230780765,XOM,0
2016-06-29,107.169954,116.333571,0.0170326459,0.0170741289,XOM,0
2016-06-30,108.623715,117.940347,0.0135650024,0.0138118018,XOM,0
