date,sp500,strategy,sp500Return,strategyReturn,holding,rebalanced
2021-03-02,100.000000,100.000000,0.0000000000,0.0000000000,JNJ,0
2021-03-03,98.693380,98.239742,-0.0130662043,-0.0176025776,JNJ,0
2021-03-04,97.369189,96.259863,-0.0134172138,-0.0201535444,JNJ,0
2021-03-05,99.267497,98.161494,0.0194959758,0.0197551779,JNJ,0
2021-03-08,98.735495,98.980800,-0.0053592716,0.0083465073,JNJ,0
2021-03-09,100.133065,99.168201,0.0141546836,0.0018933103,JNJ,0
2021-03-10,100.736896,100.084166,0.0060302830,0.0092364818,JNJ,0
2021-03-11,101.784104,100.077591,0.0103954796,-0.0000656996,JNJ,0
2021-03-12,101.887455,100.360994,0.0010153985,0.0028318375,JNJ,0
2021-03-15,102.548905,100.889663,0.0064919586,0.0052676752,JNJ,0
2021-03-16,102.387935,101.476197,-0.0015696886,0.0058136125,JNJ,0
2021-03-17,102.682745,101.102709,0.0028793427,-0.0036805443,JNJ,0
2021-03-18,101.167096,100.921883,-0.0147605004,-0.0017885365,JNJ,0
2021-03-19,101.106119,100.644398,-0.0006027389,-0.0027495081,JNJ,0
2021-03-22,101.816401,100.935034,0.0070251207,0.0028877564,JNJ,0
2021-03-23,101.039457,100.844292,-0.0076308370,-0.0008990111,JNJ,0
2021-03-24,100.487044,101.824698,-0.0054673036,0.0097219686,JNJ,0
2021-03-25,101.013619,101.862835,0.0052402331,0.0003745439,JNJ,0
2021-03-26,102.693597,103.720410,0.0166311977,0.0182360422,JNJ,0
2021-03-29,102.604456,104.416754,-0.0008680250,0.0067136644,JNJ,0
2021-03-30,102.280449,103.771699,-0.0031578232,-0.0061776986,JNJ,0
2021-03-31,102.650964,103.352841,0.0036225386,-0.0040363461,JNJ,0
2021-04-01,103.864827,102.392162,0.0118251449,-0.0092951348,JNJ,0
2021-04-05,105.364456,102.778801,0.0144382779,0.0037760567,JNJ,0
2021-04-06,105.261880,102.753156,-0.0009735379,-0.0002495106,JNJ,0
2021-04-07,105.417165,102.895187,0.0014752304,0.0013822496,JNJ,0
2021-04-08,105.862093,102.482246,0.0042206400,-0.0040132155,JNJ,0
2021-04-09,106.679344,101.399264,0.0077199628,-0.0105675147,JNJ,0
2021-04-12,106.658416,101.650447,-0.0001961829,0.0024771737,JNJ,0
2021-04-13,107.009811,100.284061,0.0032945816,-0.0134420079,JNJ,0
2021-04-14,106.572376,100.567464,-0.0040878020,0.0028260071,JNJ,0
2021-04-15,107.754716,100.870594,0.0110942478,0.0030141948,JNJ,0
2021-04-16,108.143576,102.025250,0.0036087492,0.0114468984,JNJ,0
2021-04-19,107.569717,102.302078,-0.0053064530,0.0027133282,JNJ,0
