date,sp500,strategy,sp500Return,strategyReturn,holding,rebalanced
2001-02-09,100.000000,100.000000,0.0000000000,0.0000000000,GE,0
2001-02-12,101.182725,103.953787,0.0118272536,0.0395378725,GE,0
2001-02-13,100.307280,103.276797,-0.0086521187,-0.0065124176,GE,0
2001-02-14,100.088229,101.219126,-0.0021838035,-0.0199238451,GE,0
2001-02-15,100.901305,105.055254,0.0081235941,0.0378992453,GE,0
2001-02-16,98.993733,102.877209,-0.0189053301,-0.0207323745,GE,0
2001-02-20,97.275548,104.371023,-0.0173564958,0.0145203575,GE,0
2001-02-21,95.475220,103.539719,-0.0185075140,-0.0079648972,GE,0
2001-02-22,95.288874,103.130176,-0.0019517713,-0.0039554196,GE,0
2001-02-23,94.759500,101.098299,-0.0055554669,-0.0197020558,GE,0
2001-02-26,96.416837,105.055254,0.0174899266,0.0391396791,GE,0
2001-02-27,95.678299,105.055254,-0.0076598430,0.0000000000,GE,0
2001-02-28,94.309228,101.772575,-0.0143091085,-0.0312471732,GE,0
2001-03-01,94.407344,100.545756,0.0010403729,-0.0120545143,GE,0
2001-03-02,93.871125,97.526451,-0.0056798498,-0.0300291650,GE,0
2001-03-05,94.421035,98.620677,0.0058581406,0.0112197929,GE,0
2001-03-06,95.363412,99.447456,0.0099805866,0.0083834259,GE,0
2001-03-07,95.978734,100.676990,0.0064523848,0.0123636562,GE,0
2001-03-08,96.195503,100.413616,0.0022585170,-0.0026160360,GE,0
2001-03-09,93.813320,95.871987,-0.0247639831,-0.0452292106,GE,0
2001-03-12,89.762390,86.714062,-0.0431807495,-0.0955224303,GE,0
2001-03-13,91.093432,92.602431,0.0148284978,0.0679055835,GE,0
2001-03-14,88.739390,89.736535,-0.0258420587,-0.0309483900,GE,0
2001-03-15,89.260397,89.857361,0.0058712105,0.0013464584,GE,0
2001-03-16,87.508747,88.774448,-0.0196240499,-0.0120514693,GE,0
2001-03-19,89.051234,89.950583,0.0176266590,0.0132485778,GE,0
2001-03-20,86.907116,87.650807,-0.0240773482,-0.0255671099,GE,0
2001-03-21,85.349417,85.351483,-0.0179237192,-0.0262327752,GE,0
2001-03-22,85.002586,82.510476,-0.0040636641,-0.0332859688,GE,0
2001-03-23,86.694910,87.519120,0.0199090893,0.0607031207,GE,0
2001-03-26,87.673035,88.049942,0.0112823842,0.0060652127,GE,0
2001-03-27,89.915270,91.732661,0.0255749594,0.0418253491,GE,0
2001-03-28,87.718671,90.944800,-0.0244296506,-0.0085886665,GE,0
2001-03-29,87.312513,90.603137,-0.0046302318,-0.0037568170,GE,0
2001-03-30,88.254130,91.615907,0.0107844418,0.0111780953,GE,0
2001-04-02,87.154310,91.490103,-0.0124619720,-0.0013731718,GE,0
2001-04-03,84.156804,86.848465,-0.0343930812,-0.0507337775,GE,0
2001-04-04,83.912653,86.671071,-0.0029011442,-0.0020425603,GE,0
2001-04-05,87.577961,92.139036,0.0436800363,0.0630886991,GE,0
